"","date","amount.x","cum_rolling_365_all","amount.y","cum_rolling_365_private","cum_rolling_365_health","cum_rolling_365_pubad","cum_rolling_365_realestate","cum_rolling_365_computing","cum_rolling_365_management","cum_rolling_365_bussup","cum_rolling_365_residential","cum_rolling_365_socialwork","cum_rolling_365_legal","cum_rolling_365_transport","cum_rolling_365_private2","cum_rolling_365_pubad2","cum_rolling_365_computing2","cum_rolling_365_legal2","cum_rolling_365_management2","cum_rolling_365_realestate2","cum_rolling_365_transport2","cum_rolling_365_health2","cum_rolling_365_bussup2","cum_rolling_365_residential2","cum_rolling_365_socialwork2","Rolling_Percent"
"450",2018-08-29,2422699,32574502034,2390908,2007648186,1391355198,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007648186,0.128141289639461,0.163956428080634,0.0906364400265693,0.259279116260458,0.219590583227763,0.0915008738088757,4.27130151229252,0.292287329214188,0.281525064924343,0.088505352959527,6.16325058140411
"451",2018-08-31,2822052414,32916052022,182460232,2044517892,1421623759,40215660,74990246,55257476,88065807,92979923,92647660,30657785,29231171,30151295,2044517892,0.122176438332037,0.16787394783271,0.0888052157058898,0.267546687984147,0.227822722937365,0.0916005813207728,4.31893763580709,0.282475926754081,0.281466501323055,0.0931393138506081,6.21130957817636
"452",2018-09-03,239513,32916291535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2044517892,0.122175549324074,0.167872726310145,0.0888045695212002,0.267544741200142,0.2278210652019,0.0915999147958087,4.31890620937168,0.282473871338556,0.28146445325254,0.0931386361291687,6.21126438203422
"453",2018-09-04,129682,32916421217,94856,2044612748,1421718615,NA,NA,NA,NA,NA,NA,NA,NA,NA,2044612748,0.1221750679847,0.167872064935971,0.0888042196546667,0.267543687144572,0.227820167647115,0.0915995539163537,4.31917736629807,0.282472758466159,0.281463344356984,0.0931382691875583,6.21152808356955
"454",2018-09-05,17885951,32934307168,633527,2045246275,1422320453,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045246275,0.122108717195286,0.167780897038848,0.0887559918928609,0.267398389620801,0.227696443157192,0.0915498080654811,4.31865909838228,0.282319353268018,0.281310487351073,0.093087687691782,6.21007833736131
"455",2018-09-06,170557,32934477725,28583,2045274858,1422349036,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045274858,0.122108084833764,0.167780028155889,0.0887555322543072,0.267397004851092,0.227695263991013,0.0915493339586578,4.31872352091474,0.282317891227467,0.281309030535112,0.0930872056207778,6.21013296484573
"456",2018-09-07,2539542,32937017267,206885,2045481743,1422449036,NA,NA,NA,88172692,NA,NA,NA,NA,NA,2045481743,0.122098669937222,0.167767091816669,0.0887486889387737,0.267700901041641,0.227677708008896,0.0915422752327028,4.31869414424836,0.28229612367832,0.281287340772125,0.0930800283203434,6.21028226818035
"457",2018-09-10,304325,32937321592,41012,2045522755,1422490048,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045522755,0.122097541804273,0.167765541729481,0.0887478689435993,0.26769842761415,0.227675604376447,0.0915414294261356,4.31877875687834,0.282293515397996,0.28128474181247,0.0930791683056777,6.21034940344642
"458",2018-09-11,971269,32938292861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2045522755,0.122093941448971,0.167760594737521,0.088745251987879,0.267690533847913,0.227668890784534,0.0915387300952081,4.31865140674693,0.282285191258625,0.281276447419343,0.0930764236306242,6.21016627556301
"459",2018-09-13,6901600,32945194461,2332579,2047855334,1422611757,NA,75042193,NA,NA,NA,NA,NA,NA,NA,2047855334,0.122068364318221,0.167725451022646,0.0887266609842094,0.267634456079406,0.227778874059565,0.0915195538933383,4.31811613279158,0.28222605609467,0.281217523574416,0.0930569253014797,6.21594550435639
"460",2018-09-15,146168,32945340629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047855334,0.122067822739706,0.167724706878155,0.088726267332229,0.26763326867043,0.227777863477133,0.0915191478501802,4.31809697468343,0.282224803947405,0.281216275901689,0.0930565124374935,6.21591792618281
"461",2018-09-17,54000,32945394629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047855334,0.122067622661288,0.167724431964642,0.0887261219031489,0.267632829999209,0.227777490131943,0.0915189978433571,4.31808989699505,0.282224341359551,0.281215814966889,0.0930563599108133,6.21590773782199
"462",2018-09-18,75890,32945470519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047855334,0.122067341478117,0.16772404561086,0.0887259175222344,0.267632213506102,0.227776965445743,0.0915187870290437,4.31807995026073,0.282223691254849,0.281215167185332,0.0930561455551814,6.21589341945801
