"","LAD19CD","threeyears","ccg19cd","LAD19NM","Treatable_mortality_rate","Preventable_mortality_rate","year","Broad_RUC11","one.x","one.y","include","Unemployment_percent","Qual_lvl4_percent","BAME_percent","Est_Population","Managerial_occupation","Professional_occupation","Local_Authority_Expenditure","Claimant_percent","GDHI_per_person","Local_Authority_Spend_per_pop","professional_and_managerial"
"108","E06000037","X2017.2019","E38000221","West Berkshire",68.6,104.6,"2019","Urban with Significant Rural",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","E06000038","X2009.2011","E38000221","Reading",97.9,166.2,"2011","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","E06000038","X2010.2012","E38000221","Reading",97.9,157.1,"2012","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","E06000038","X2011.2013","E38000221","Reading",96.5,159.2,"2013","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","E06000038","X2012.2014","E38000221","Reading",101.2,160.5,"2014","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","E06000038","X2013.2015","E38000221","Reading",97.8,154.4,"2015","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","E06000038","X2014.2016","E38000221","Reading",97.3,164.7,"2016","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","E06000038","X2015.2017","E38000221","Reading",95.2,161.8,"2017","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","E06000038","X2016.2018","E38000221","Reading",94.6,158.7,"2018","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","E06000038","X2017.2019","E38000221","Reading",96.7,147.6,"2019","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","E06000039","X2009.2011","E38000224","Slough",110.7,188.1,"2011","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","E06000039","X2010.2012","E38000224","Slough",109.9,172.1,"2012","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","E06000039","X2011.2013","E38000224","Slough",108.3,163.1,"2013","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","E06000039","X2012.2014","E38000224","Slough",109.4,158.1,"2014","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","E06000039","X2013.2015","E38000224","Slough",110.4,169.6,"2015","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","E06000039","X2014.2016","E38000224","Slough",112.4,179.9,"2016","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","E06000039","X2015.2017","E38000224","Slough",110.4,178,"2017","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","E06000039","X2016.2018","E38000224","Slough",101.7,176.8,"2018","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","E06000039","X2017.2019","E38000224","Slough",100,160.8,"2019","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","E06000040","X2009.2011","E38000224","Windsor and Maidenhead",81.6,122.7,"2011","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","E06000040","X2010.2012","E38000224","Windsor and Maidenhead",81.7,114.3,"2012","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","E06000040","X2011.2013","E38000224","Windsor and Maidenhead",79.4,113.8,"2013","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","E06000040","X2012.2014","E38000224","Windsor and Maidenhead",75.2,113.7,"2014","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","E06000040","X2013.2015","E38000224","Windsor and Maidenhead",65,112.7,"2015","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","E06000040","X2014.2016","E38000224","Windsor and Maidenhead",64.4,110.5,"2016","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","E06000040","X2015.2017","E38000224","Windsor and Maidenhead",61.8,112.4,"2017","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","E06000040","X2016.2018","E38000224","Windsor and Maidenhead",65.2,116.3,"2018","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","E06000040","X2017.2019","E38000224","Windsor and Maidenhead",62.8,115.1,"2019","Predominantly Urban",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","E06000041","X2009.2011","E38000221","Wokingham",78,93,"2011","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","E06000041","X2010.2012","E38000221","Wokingham",77.3,95.8,"2012","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","E06000041","X2011.2013","E38000221","Wokingham",76.5,91.8,"2013","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","E06000041","X2012.2014","E38000221","Wokingham",73.5,91,"2014","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","E06000041","X2013.2015","E38000221","Wokingham",70.8,90.4,"2015","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","E06000041","X2014.2016","E38000221","Wokingham",67.1,94.3,"2016","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","E06000041","X2015.2017","E38000221","Wokingham",67.5,94.6,"2017","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","E06000041","X2016.2018","E38000221","Wokingham",65.8,90.3,"2018","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","E06000041","X2017.2019","E38000221","Wokingham",62.9,87.9,"2019","Predominantly Urban",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","E07000008","X2009.2011","E38000026","Cambridge",76.9,138.1,"2011","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","E07000008","X2010.2012","E38000026","Cambridge",70.7,131.7,"2012","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","E07000008","X2011.2013","E38000026","Cambridge",77.4,124,"2013","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","E07000008","X2012.2014","E38000026","Cambridge",86.3,131.1,"2014","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","E07000008","X2013.2015","E38000026","Cambridge",84.6,122.5,"2015","Predominantly Urban",1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
